"Territory","Population Value (Sum)","Victims Value","Stereotypes about gender roles","Degree of agreement","Stereotypes values"
"Umbria",621779,118,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",24.4
"Umbria",621779,118,"serious women don’t get raped","strongly disagree",77.6
"Umbria",621779,118,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",89.1
"Umbria",621779,118,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",72.6
"Umbria",621779,118,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",74.5
"Umbria",621779,118,"often accusations of sexual violence are false","strongly disagree",43.8
"Marche",1084288,230,"women can provoke sexual violence by how they dress","strongly agree",7.9
"Marche",1084288,230,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",11.5
"Marche",1084288,230,"serious women don’t get raped","strongly agree",1.6
"Marche",1084288,230,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.8
"Marche",1084288,230,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.1
"Marche",1084288,230,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",3.9
"Marche",1084288,230,"often accusations of sexual violence are false","strongly agree",1.5
"Marche",1084288,230,"women can provoke sexual violence by how they dress","somewhat agree",18.5
"Marche",1084288,230,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",34.8
"Marche",1084288,230,"serious women don’t get raped","somewhat agree",4
"Marche",1084288,230,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.1
"Marche",1084288,230,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",4.6
"Marche",1084288,230,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",9.1
"Marche",1084288,230,"often accusations of sexual violence are false","somewhat agree",8.6
"Marche",1084288,230,"women can provoke sexual violence by how they dress","somewhat disagree",22.9
"Marche",1084288,230,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",22.4
"Marche",1084288,230,"serious women don’t get raped","somewhat disagree",11
"Marche",1084288,230,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",6.4
"Marche",1084288,230,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",16.9
"Marche",1084288,230,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",17.2
"Marche",1084288,230,"often accusations of sexual violence are false","somewhat disagree",36.4
"Marche",1084288,230,"women can provoke sexual violence by how they dress","strongly disagree",46.4
"Marche",1084288,230,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",23.5
"Marche",1084288,230,"serious women don’t get raped","strongly disagree",77.3
"Marche",1084288,230,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",87.8
"Marche",1084288,230,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",64.3
"Marche",1084288,230,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",64.2
"Marche",1084288,230,"often accusations of sexual violence are false","strongly disagree",41.6
"Lazio",4206973,1232,"women can provoke sexual violence by how they dress","strongly agree",5.5
"Lazio",4206973,1232,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",13.2
"Lazio",4206973,1232,"serious women don’t get raped","strongly agree",1.6
"Lazio",4206973,1232,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.5
"Lazio",4206973,1232,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.1
"Lazio",4206973,1232,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",3.1
"Lazio",4206973,1232,"often accusations of sexual violence are false","strongly agree",0.8
"Lazio",4206973,1232,"women can provoke sexual violence by how they dress","somewhat agree",14.1
"Lazio",4206973,1232,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",22.3
"Lazio",4206973,1232,"serious women don’t get raped","somewhat agree",2.4
"Lazio",4206973,1232,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.8
"Lazio",4206973,1232,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.5
"Lazio",4206973,1232,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",11.5
"Lazio",4206973,1232,"often accusations of sexual violence are false","somewhat agree",7.6
"Lazio",4206973,1232,"women can provoke sexual violence by how they dress","somewhat disagree",20.6
"Lazio",4206973,1232,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",26.6
"Lazio",4206973,1232,"serious women don’t get raped","somewhat disagree",7.4
"Lazio",4206973,1232,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",4.1
"Lazio",4206973,1232,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",13.7
"Lazio",4206973,1232,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",11.1
"Lazio",4206973,1232,"often accusations of sexual violence are false","somewhat disagree",32.4
"Lazio",4206973,1232,"women can provoke sexual violence by how they dress","strongly disagree",55.3
"Lazio",4206973,1232,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",30.4
"Lazio",4206973,1232,"serious women don’t get raped","strongly disagree",84.1
"Lazio",4206973,1232,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",90.3
"Lazio",4206973,1232,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",68.7
"Lazio",4206973,1232,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",69.5
"Lazio",4206973,1232,"often accusations of sexual violence are false","strongly disagree",48.9
"Abruzzo",944707,224,"women can provoke sexual violence by how they dress","strongly agree",8.9
"Abruzzo",944707,224,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",14.4
"Abruzzo",944707,224,"serious women don’t get raped","strongly agree",3
"Abruzzo",944707,224,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.9
"Abruzzo",944707,224,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",0.1
"Abruzzo",944707,224,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",4
"Abruzzo",944707,224,"often accusations of sexual violence are false","strongly agree",1.6
"Abruzzo",944707,224,"women can provoke sexual violence by how they dress","somewhat agree",17.3
"Abruzzo",944707,224,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",31.5
"Abruzzo",944707,224,"serious women don’t get raped","somewhat agree",2.9
"Abruzzo",944707,224,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.9
"Abruzzo",944707,224,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",3.2
"Abruzzo",944707,224,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",9.5
"Abruzzo",944707,224,"often accusations of sexual violence are false","somewhat agree",11
"Abruzzo",944707,224,"women can provoke sexual violence by how they dress","somewhat disagree",25.7
"Abruzzo",944707,224,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",21.5
"Abruzzo",944707,224,"serious women don’t get raped","somewhat disagree",9.3
"Abruzzo",944707,224,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",5.9
"Abruzzo",944707,224,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",16.3
"Abruzzo",944707,224,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",12.7
"Abruzzo",944707,224,"often accusations of sexual violence are false","somewhat disagree",32.4
"Abruzzo",944707,224,"women can provoke sexual violence by how they dress","strongly disagree",42.2
"Abruzzo",944707,224,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",24.6
"Abruzzo",944707,224,"serious women don’t get raped","strongly disagree",79.1
"Abruzzo",944707,224,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",86.7
"Abruzzo",944707,224,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",62.7
"Abruzzo",944707,224,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",65.2
"Abruzzo",944707,224,"often accusations of sexual violence are false","strongly disagree",40.5
"Molise",222440,24,"women can provoke sexual violence by how they dress","strongly agree",5.9
"Molise",222440,24,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",13.7
"Molise",222440,24,"serious women don’t get raped","strongly agree",2.8
"Molise",222440,24,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",1
"Molise",222440,24,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.6
"Molise",222440,24,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",5.6
"Molise",222440,24,"often accusations of sexual violence are false","strongly agree",0.4
"Molise",222440,24,"women can provoke sexual violence by how they dress","somewhat agree",14.6
"Molise",222440,24,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",24.8
"Molise",222440,24,"serious women don’t get raped","somewhat agree",1.3
"Molise",222440,24,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.3
"Molise",222440,24,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",6.2
"Molise",222440,24,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",12.4
"Molise",222440,24,"often accusations of sexual violence are false","somewhat agree",9.2
"Molise",222440,24,"women can provoke sexual violence by how they dress","somewhat disagree",24
"Molise",222440,24,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",27.3
"Molise",222440,24,"serious women don’t get raped","somewhat disagree",8.1
"Molise",222440,24,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",6.4
"Molise",222440,24,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",10.9
"Molise",222440,24,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",9.8
"Molise",222440,24,"often accusations of sexual violence are false","somewhat disagree",30.4
"Molise",222440,24,"women can provoke sexual violence by how they dress","strongly disagree",46.6
"Molise",222440,24,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",21.6
"Molise",222440,24,"serious women don’t get raped","strongly disagree",77.6
"Molise",222440,24,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",80.1
"Molise",222440,24,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",66
"Molise",222440,24,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",59.6
"Molise",222440,24,"often accusations of sexual violence are false","strongly disagree",45.1
"Campania",4212266,990,"women can provoke sexual violence by how they dress","strongly agree",10.5
"Campania",4212266,990,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",13.9
"Campania",4212266,990,"serious women don’t get raped","strongly agree",3.9
"Campania",4212266,990,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",1.3
"Campania",4212266,990,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",3.1
"Campania",4212266,990,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",4.7
"Campania",4212266,990,"often accusations of sexual violence are false","strongly agree",2.4
"Campania",4212266,990,"women can provoke sexual violence by how they dress","somewhat agree",18.7
"Campania",4212266,990,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",31.4
"Campania",4212266,990,"serious women don’t get raped","somewhat agree",5.6
"Campania",4212266,990,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.2
"Campania",4212266,990,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",8.8
"Campania",4212266,990,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",12.4
"Campania",4212266,990,"often accusations of sexual violence are false","somewhat agree",10.1
"Campania",4212266,990,"women can provoke sexual violence by how they dress","somewhat disagree",21.5
"Campania",4212266,990,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",25.7
"Campania",4212266,990,"serious women don’t get raped","somewhat disagree",9.2
"Campania",4212266,990,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",6
"Campania",4212266,990,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",15
"Campania",4212266,990,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",13.1
"Campania",4212266,990,"often accusations of sexual violence are false","somewhat disagree",29.1
"Campania",4212266,990,"women can provoke sexual violence by how they dress","strongly disagree",43.2
"Campania",4212266,990,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",21
"Campania",4212266,990,"serious women don’t get raped","strongly disagree",75.1
"Campania",4212266,990,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",85
"Campania",4212266,990,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",61.3
"Campania",4212266,990,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",63.3
"Campania",4212266,990,"often accusations of sexual violence are false","strongly disagree",47
"Puglia",2902794,611,"women can provoke sexual violence by how they dress","strongly agree",10.7
"Puglia",2902794,611,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",14.8
"Puglia",2902794,611,"serious women don’t get raped","strongly agree",4.6
"Puglia",2902794,611,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",1.2
"Puglia",2902794,611,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",0.9
"Puglia",2902794,611,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",4.5
"Puglia",2902794,611,"often accusations of sexual violence are false","strongly agree",3
"Puglia",2902794,611,"women can provoke sexual violence by how they dress","somewhat agree",16.9
"Puglia",2902794,611,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",29
"Puglia",2902794,611,"serious women don’t get raped","somewhat agree",5.6
"Puglia",2902794,611,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.7
"Puglia",2902794,611,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",6.4
"Puglia",2902794,611,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",14
"Puglia",2902794,611,"often accusations of sexual violence are false","somewhat agree",8.1
"Puglia",2902794,611,"women can provoke sexual violence by how they dress","somewhat disagree",22.3
"Puglia",2902794,611,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",23.7
"Puglia",2902794,611,"serious women don’t get raped","somewhat disagree",7.7
"Puglia",2902794,611,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",6.3
"Puglia",2902794,611,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",11.6
"Puglia",2902794,611,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",12.4
"Puglia",2902794,611,"often accusations of sexual violence are false","somewhat disagree",28.2
"Puglia",2902794,611,"women can provoke sexual violence by how they dress","strongly disagree",44
"Puglia",2902794,611,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",23.2
"Puglia",2902794,611,"serious women don’t get raped","strongly disagree",75.5
"Puglia",2902794,611,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",84.4
"Puglia",2902794,611,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",66.7
"Puglia",2902794,611,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",60.7
"Puglia",2902794,611,"often accusations of sexual violence are false","strongly disagree",49
"Basilicata",409622,56,"women can provoke sexual violence by how they dress","strongly agree",10.2
"Basilicata",409622,56,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",17.9
"Basilicata",409622,56,"serious women don’t get raped","strongly agree",4.4
"Basilicata",409622,56,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",1.2
"Basilicata",409622,56,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",3.1
"Basilicata",409622,56,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",4.9
"Basilicata",409622,56,"often accusations of sexual violence are false","strongly agree",2.6
"Basilicata",409622,56,"women can provoke sexual violence by how they dress","somewhat agree",21.3
"Basilicata",409622,56,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",34.4
"Basilicata",409622,56,"serious women don’t get raped","somewhat agree",8.7
"Basilicata",409622,56,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.8
"Basilicata",409622,56,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.5
"Basilicata",409622,56,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",13.5
"Basilicata",409622,56,"often accusations of sexual violence are false","somewhat agree",10.6
"Basilicata",409622,56,"women can provoke sexual violence by how they dress","somewhat disagree",19.8
"Basilicata",409622,56,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",19.9
"Basilicata",409622,56,"serious women don’t get raped","somewhat disagree",11.5
"Basilicata",409622,56,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",4.2
"Basilicata",409622,56,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",14.7
"Basilicata",409622,56,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",13.4
"Basilicata",409622,56,"often accusations of sexual violence are false","somewhat disagree",33.6
"Basilicata",409622,56,"women can provoke sexual violence by how they dress","strongly disagree",43.3
"Basilicata",409622,56,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",19.3
"Basilicata",409622,56,"serious women don’t get raped","strongly disagree",70
"Basilicata",409622,56,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",89.4
"Basilicata",409622,56,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",64.9
"Basilicata",409622,56,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",61.5
"Basilicata",409622,56,"often accusations of sexual violence are false","strongly disagree",44.4
"Calabria",1398058,194,"women can provoke sexual violence by how they dress","strongly agree",9.7
"Calabria",1398058,194,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",15.9
"Calabria",1398058,194,"serious women don’t get raped","strongly agree",2
"Calabria",1398058,194,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",1.4
"Calabria",1398058,194,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",0.4
"Calabria",1398058,194,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",3.6
"Calabria",1398058,194,"often accusations of sexual violence are false","strongly agree",0.3
"Calabria",1398058,194,"women can provoke sexual violence by how they dress","somewhat agree",15.3
"Calabria",1398058,194,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",20.1
"Calabria",1398058,194,"serious women don’t get raped","somewhat agree",4
"Calabria",1398058,194,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",2.8
"Calabria",1398058,194,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",7.4
"Calabria",1398058,194,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",10
"Calabria",1398058,194,"often accusations of sexual violence are false","somewhat agree",12.9
"Calabria",1398058,194,"women can provoke sexual violence by how they dress","somewhat disagree",17.3
"Calabria",1398058,194,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",23.4
"Calabria",1398058,194,"serious women don’t get raped","somewhat disagree",5.6
"Calabria",1398058,194,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",2.8
"Calabria",1398058,194,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",14.2
"Calabria",1398058,194,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",14.6
"Calabria",1398058,194,"often accusations of sexual violence are false","somewhat disagree",29.6
"Calabria",1398058,194,"women can provoke sexual violence by how they dress","strongly disagree",48.6
"Calabria",1398058,194,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",28.4
"Calabria",1398058,194,"serious women don’t get raped","strongly disagree",78.8
"Calabria",1398058,194,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",83.5
"Calabria",1398058,194,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",61.4
"Calabria",1398058,194,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",60.4
"Calabria",1398058,194,"often accusations of sexual violence are false","strongly disagree",41.8
"Sicilia",3571665,565,"women can provoke sexual violence by how they dress","strongly agree",10.6
"Sicilia",3571665,565,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",12.8
"Sicilia",3571665,565,"serious women don’t get raped","strongly agree",3.2
"Sicilia",3571665,565,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.6
"Sicilia",3571665,565,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",3.2
"Sicilia",3571665,565,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",5.2
"Sicilia",3571665,565,"often accusations of sexual violence are false","strongly agree",2.1
"Sicilia",3571665,565,"women can provoke sexual violence by how they dress","somewhat agree",19.8
"Sicilia",3571665,565,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",27.7
"Sicilia",3571665,565,"serious women don’t get raped","somewhat agree",5.2
"Sicilia",3571665,565,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.4
"Sicilia",3571665,565,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.7
"Sicilia",3571665,565,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",11.1
"Sicilia",3571665,565,"often accusations of sexual violence are false","somewhat agree",7.6
"Sicilia",3571665,565,"women can provoke sexual violence by how they dress","somewhat disagree",20.4
"Sicilia",3571665,565,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",28.4
"Sicilia",3571665,565,"serious women don’t get raped","somewhat disagree",9.9
"Sicilia",3571665,565,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",5.1
"Sicilia",3571665,565,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",14.8
"Sicilia",3571665,565,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",13.1
"Sicilia",3571665,565,"often accusations of sexual violence are false","somewhat disagree",30.8
"Sicilia",3571665,565,"women can provoke sexual violence by how they dress","strongly disagree",43.1
"Sicilia",3571665,565,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",19.8
"Sicilia",3571665,565,"serious women don’t get raped","strongly disagree",74.6
"Sicilia",3571665,565,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",86.1
"Sicilia",3571665,565,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",60.5
"Sicilia",3571665,565,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",62.2
"Sicilia",3571665,565,"often accusations of sexual violence are false","strongly disagree",46.7
"Sardegna",1210346,242,"women can provoke sexual violence by how they dress","strongly agree",5.7
"Sardegna",1210346,242,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",12.9
"Sardegna",1210346,242,"serious women don’t get raped","strongly agree",1.2
"Sardegna",1210346,242,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.3
"Sardegna",1210346,242,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",0.2
"Sardegna",1210346,242,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",1.5
"Sardegna",1210346,242,"often accusations of sexual violence are false","strongly agree",0.5
"Sardegna",1210346,242,"women can provoke sexual violence by how they dress","somewhat agree",14.1
"Sardegna",1210346,242,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",23
"Sardegna",1210346,242,"serious women don’t get raped","somewhat agree",4.4
"Sardegna",1210346,242,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.2
"Sardegna",1210346,242,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",3.4
"Sardegna",1210346,242,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",9.8
"Sardegna",1210346,242,"often accusations of sexual violence are false","somewhat agree",9.1
"Sardegna",1210346,242,"women can provoke sexual violence by how they dress","somewhat disagree",16
"Sardegna",1210346,242,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",24.8
"Sardegna",1210346,242,"serious women don’t get raped","somewhat disagree",5.8
"Sardegna",1210346,242,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",3.3
"Sardegna",1210346,242,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",9.6
"Sardegna",1210346,242,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",9.8
"Sardegna",1210346,242,"often accusations of sexual violence are false","somewhat disagree",31.1
"Sardegna",1210346,242,"women can provoke sexual violence by how they dress","strongly disagree",58.2
"Sardegna",1210346,242,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",30.6
"Sardegna",1210346,242,"serious women don’t get raped","strongly disagree",81.7
"Sardegna",1210346,242,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",89
"Sardegna",1210346,242,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",70
"Sardegna",1210346,242,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",72
"Sardegna",1210346,242,"often accusations of sexual violence are false","strongly disagree",46.2
