"Territory","Population Value (Sum)","Victims Value","Behaviours regarding intimate partner","OPINIONI_B","Degree of acceptability","Behaviours Value"
"Basilicata",409622,56,"in a couple’s relationship,it is normal that a slap might occasionally occur","NEVACC","never acceptable",86.5
"Basilicata",409622,56,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NEVACC","never acceptable",72
"Basilicata",409622,56,"a young man slaps his girlfriend because she flirted with another man","NOANSW","not answered",2.2
"Basilicata",409622,56,"in a couple’s relationship,it is normal that a slap might occasionally occur","NOANSW","not answered",2.6
"Basilicata",409622,56,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NOANSW","not answered",2.4
"Basilicata",409622,56,"a young man slaps his girlfriend because she flirted with another man","TOT","total",100
"Basilicata",409622,56,"in a couple’s relationship,it is normal that a slap might occasionally occur","TOT","total",100
"Basilicata",409622,56,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","TOT","total",100
"Calabria",1398058,194,"a young man slaps his girlfriend because she flirted with another man","ALWACC","always acceptable",0.1
"Calabria",1398058,194,"in a couple’s relationship,it is normal that a slap might occasionally occur","ALWACC","always acceptable",0.1
"Calabria",1398058,194,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ALWACC","always acceptable",0.6
"Calabria",1398058,194,"a young man slaps his girlfriend because she flirted with another man","ACUNDCIR","acceptable under certain circumstances",9.2
"Calabria",1398058,194,"in a couple’s relationship,it is normal that a slap might occasionally occur","ACUNDCIR","acceptable under certain circumstances",10.3
"Calabria",1398058,194,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ACUNDCIR","acceptable under certain circumstances",21.5
"Calabria",1398058,194,"a young man slaps his girlfriend because she flirted with another man","NEVACC","never acceptable",88.9
"Calabria",1398058,194,"in a couple’s relationship,it is normal that a slap might occasionally occur","NEVACC","never acceptable",87.9
"Calabria",1398058,194,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NEVACC","never acceptable",75.9
"Calabria",1398058,194,"a young man slaps his girlfriend because she flirted with another man","NOANSW","not answered",1.7
"Calabria",1398058,194,"in a couple’s relationship,it is normal that a slap might occasionally occur","NOANSW","not answered",1.6
"Calabria",1398058,194,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NOANSW","not answered",2
"Calabria",1398058,194,"a young man slaps his girlfriend because she flirted with another man","TOT","total",100
"Calabria",1398058,194,"in a couple’s relationship,it is normal that a slap might occasionally occur","TOT","total",100
"Calabria",1398058,194,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","TOT","total",100
"Sicilia",3571665,565,"a young man slaps his girlfriend because she flirted with another man","ALWACC","always acceptable",0.6
"Sicilia",3571665,565,"in a couple’s relationship,it is normal that a slap might occasionally occur","ALWACC","always acceptable",0.4
"Sicilia",3571665,565,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ALWACC","always acceptable",1
"Sicilia",3571665,565,"a young man slaps his girlfriend because she flirted with another man","ACUNDCIR","acceptable under certain circumstances",7.9
"Sicilia",3571665,565,"in a couple’s relationship,it is normal that a slap might occasionally occur","ACUNDCIR","acceptable under certain circumstances",7.7
"Sicilia",3571665,565,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ACUNDCIR","acceptable under certain circumstances",23.2
"Sicilia",3571665,565,"a young man slaps his girlfriend because she flirted with another man","NEVACC","never acceptable",89.9
"Sicilia",3571665,565,"in a couple’s relationship,it is normal that a slap might occasionally occur","NEVACC","never acceptable",89.9
"Sicilia",3571665,565,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NEVACC","never acceptable",74.4
"Sicilia",3571665,565,"a young man slaps his girlfriend because she flirted with another man","NOANSW","not answered",1.6
"Sicilia",3571665,565,"in a couple’s relationship,it is normal that a slap might occasionally occur","NOANSW","not answered",2
"Sicilia",3571665,565,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NOANSW","not answered",1.4
"Sicilia",3571665,565,"a young man slaps his girlfriend because she flirted with another man","TOT","total",100
"Sicilia",3571665,565,"in a couple’s relationship,it is normal that a slap might occasionally occur","TOT","total",100
"Sicilia",3571665,565,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","TOT","total",100
"Sardegna",1210346,242,"a young man slaps his girlfriend because she flirted with another man","ALWACC","always acceptable",0
"Sardegna",1210346,242,"in a couple’s relationship,it is normal that a slap might occasionally occur","ALWACC","always acceptable",0
"Sardegna",1210346,242,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ALWACC","always acceptable",1.5
"Sardegna",1210346,242,"a young man slaps his girlfriend because she flirted with another man","ACUNDCIR","acceptable under certain circumstances",4.5
"Sardegna",1210346,242,"in a couple’s relationship,it is normal that a slap might occasionally occur","ACUNDCIR","acceptable under certain circumstances",2.5
"Sardegna",1210346,242,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ACUNDCIR","acceptable under certain circumstances",10.5
"Sardegna",1210346,242,"a young man slaps his girlfriend because she flirted with another man","NEVACC","never acceptable",93.2
"Sardegna",1210346,242,"in a couple’s relationship,it is normal that a slap might occasionally occur","NEVACC","never acceptable",96.5
"Sardegna",1210346,242,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NEVACC","never acceptable",86.4
"Sardegna",1210346,242,"a young man slaps his girlfriend because she flirted with another man","NOANSW","not answered",2.3
"Sardegna",1210346,242,"in a couple’s relationship,it is normal that a slap might occasionally occur","NOANSW","not answered",1
"Sardegna",1210346,242,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NOANSW","not answered",1.5
"Sardegna",1210346,242,"a young man slaps his girlfriend because she flirted with another man","TOT","total",100
"Sardegna",1210346,242,"in a couple’s relationship,it is normal that a slap might occasionally occur","TOT","total",100
"Sardegna",1210346,242,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","TOT","total",100
